"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","subclass","superorder","order","suborder","infraorder","hyporder","superfamily","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"UMZM",4701,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella avicola",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"avicola",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella avicola"
"UMZM",4702,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella lonchurae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"lonchurae",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella lonchurae"
"UMZM",4703,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella media",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"media",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella media"
"UMZM",4704,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella megaphallos",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"megaphallos",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella megaphallos"
"UMZM",4705,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella microrhyncha",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"microrhyncha",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella microrhyncha"
"UMZM",4706,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella nectarinia",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"nectarinia",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella nectarinia"
"UMZM",4707,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella parvisetosa",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"parvisetosa",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella parvisetosa"
"UMZM",4708,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella pittae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"pittae",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella pittae"
"UMZM",4709,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella queleae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"queleae",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella queleae"
"UMZM",4710,NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella rohweri",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","Eleutherengona","Raphignathina","Cheyletoidea","Cheyletidae","Cheyletiellinae","Ornithocheyletiini",NA,"Neocheyletiella",NA,"rohweri",NA,"species",NA,NA,NA,NA,NA,NA,NA,"Neocheyletiella rohweri"
